Date,result,rsi_7,rsi_14,roc_7,golden_cross_sma_25_75,golden_cross_sma_5_25,bband_signal
2017-09-26,0.0,70.23757721648396,65.22414847225467,2.4233432245301723,0.0,0.0,0.0
2017-09-27,0.0,74.69728095462492,67.80614125384751,2.5110782865583436,0.0,0.0,0.0
2017-09-28,0.0,78.16707539599474,69.98770756545511,1.1116481391976851,0.0,0.0,0.0
2017-09-29,0.0,72.3773739495325,67.52389559082962,0.7725736359246671,0.0,0.0,0.0
2017-10-02,0.0,75.3584628482462,69.16072232432772,0.8670520231213841,0.0,0.0,0.0
2017-10-03,0.0,82.114353938425,73.47920564580282,2.1739130434782705,0.0,0.0,0.0
2017-10-04,0.0,82.64309686947433,73.85471078388778,1.8278018278018227,1.0,0.0,0.0
2017-10-05,1.0,82.64309686947435,73.85471078388778,2.2211492032834457,0.0,0.0,0.0
2017-10-06,1.0,85.04940858414008,75.46618652846612,2.065321805955822,0.0,0.0,0.0
2017-10-10,1.0,87.96844468676653,77.68770769708917,2.151051625239009,0.0,0.0,0.0
2017-10-11,1.0,89.37963079299163,78.88859960086911,2.731193100143736,0.0,0.0,0.0
2017-10-12,0.0,90.32525940295636,79.72789570219159,2.626552053486142,0.0,0.0,0.0
2017-10-13,0.0,93.45347384695415,83.06343467709077,2.6950354609929006,0.0,0.0,0.0
2017-10-16,0.0,94.45403951543308,84.38660026892308,3.117619272555494,0.0,0.0,0.0
2017-10-17,0.0,95.0192165364617,85.18006078058224,3.4482758620689724,0.0,0.0,0.0
2017-10-18,0.0,95.33607685283732,85.62947530035414,3.247058823529403,0.0,0.0,0.0
2017-10-19,0.0,95.80329207482458,86.30056308884377,2.9480580252690736,0.0,0.0,0.0
2017-10-20,0.0,95.88347681084481,86.41443532210289,2.6585820895522305,0.0,0.0,0.0
2017-10-23,0.0,97.35658600916082,88.8987737981061,3.583061889250816,0.0,0.0,0.0
2017-10-24,0.0,97.76681675132902,89.78399447601296,2.992633517495391,0.0,0.0,0.0
2017-10-25,1.0,87.66621142975652,85.1317533684439,2.153000458085197,0.0,0.0,0.0
2017-10-26,1.0,88.07681886891464,85.36508315798069,1.9178082191780854,0.0,0.0,0.0
2017-10-27,1.0,92.17812225077394,88.0838137157155,2.962625341841396,0.0,0.0,0.0
2017-10-30,1.0,92.17812225077394,88.0838137157155,2.681818181818185,0.0,0.0,0.0
2017-10-31,1.0,90.60695966934719,87.38650374352927,2.589731940027251,0.0,0.0,0.0
2017-11-01,0.0,94.93659426392192,90.77010778308612,3.369272237196763,0.0,0.0,0.0
2017-11-02,0.0,95.64468135756837,91.51147890379148,3.4421099687080847,0.0,0.0,0.0
2017-11-06,0.0,95.64468135756837,91.51147890379147,3.7668161434977643,0.0,0.0,0.0
2017-11-07,0.0,97.30313343265587,93.47520604129062,5.555555555555558,0.0,0.0,0.0
2017-11-08,0.0,95.28734152578032,92.37926048651322,4.20540061974326,0.0,0.0,0.0
